OBJECTID_12,OBJECTID_1,COMID,GRID_CODE,AREASQKM,HUC8,InPoly_FID,SmoPgnFlag,OBJECTID,FID_basins,HydroID,FEATUREID,Shape_Leng,Area,Shape_le_1,FID_basi_1,Id,gridcode,FID_basi_2,Id_1,gridcode_1,Shape_Le_2,Area_1,ORIG_FID,POINT_X,POINT_Y
1,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629164.806499999947846,2357161.354100000113249
2,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629168.269299999810755,2357159.987099999561906
3,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629170.000000000000000,2357160.000000000000000
4,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629186.338200000114739,2357152.301999999210238
5,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629194.043499999679625,2357149.792199999094009
6,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629202.635300000198185,2357148.106899999082088
7,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629211.655500000342727,2357147.623600000515580
8,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629220.459699999541044,2357148.554500000551343
9,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629228.507399999536574,2357150.931600000709295
10,1,800007925,2963603,0.765900000000000,20060000,685,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,3936.753171450000082,8242850.540670000016689,1,629235.707100000232458,2357154.307700000703335
