OBJECTID,OBJECTID_1,Area_acres,curve_numbers_csv_CN,AREA,PERCENTAGE
1,1,189.112545769000008,36,101.522134001568261,46.345929637554093
2,1,189.112545769000008,42,6.937483584690666,3.167034748036260
3,1,189.112545769000008,60,81.789904422579980,37.337957803099471
4,1,189.112545769000008,62,5.613122292717394,2.562449788745064
5,1,189.112545769000008,73,3.744264292681223,1.709296314144948
6,1,189.112545769000008,77,1.375141447864775,0.627766638390803
7,1,189.112545769000008,79,18.203635689232403,8.310152530755518
8,2,252.729678642000010,36,22.208472606670750,7.585259121456628
9,2,252.729678642000010,42,45.384486334476179,15.500979965538287
10,2,252.729678642000010,60,225.339968809465205,76.964412821768647
11,3,314.927338609999993,42,18.590726269300713,5.096020498599466
12,3,314.927338609999993,60,304.247141851849221,83.399090979980471
13,3,314.927338609999993,73,11.384392029573773,3.120647053074089
14,3,314.927338609999993,79,30.225683155682194,8.285351455036130
15,3,314.927338609999993,NA,0.378318339026230,0.103703211092801
16,4,5.606241128550000,55,3.735862709711339,57.538834844515677
17,4,5.606241128550000,62,1.622123276641207,24.983542106480353
18,4,5.606241128550000,73,0.867710547021951,13.364263555016493
19,4,5.606241128550000,74,0.024463432765249,0.376779749949205
20,4,5.606241128550000,79,0.014579217506563,0.224545507545486
21,4,5.606241128550000,91,0.289731059770251,4.462366230459017
22,5,0.964376507143000,55,0.844976851926972,75.660396556239434
23,5,0.964376507143000,73,0.086981094276442,7.788407541393852
24,5,0.964376507143000,74,0.216464314165237,19.382514222332428
25,6,5.354189509250000,0,0.146904149282230,2.369691151398637
26,6,5.354189509250000,36,3.309358821299012,53.382823793282164
27,6,5.354189509250000,39,0.650257811330845,10.489221639874707
28,6,5.354189509250000,42,1.536254156581367,24.781109988638057
29,6,5.354189509250000,61,0.550550789908844,8.880861035014572
30,6,5.354189509250000,NA,0.042749230993820,0.689582118068905
31,7,49.914689746299999,42,0.098100836442465,0.169710146534359
32,7,49.914689746299999,55,16.733729327574970,28.948618169169375
33,7,49.914689746299999,62,29.850206528542838,51.639548731177008
34,7,49.914689746299999,73,5.457693007774546,9.441569650959986
35,7,49.914689746299999,74,1.594818131989085,2.758965455246225
36,7,49.914689746299999,79,3.488386670171973,6.034756016689025
37,7,49.914689746299999,80,0.407847432111556,0.705558178475968
38,8,3.566593511310000,36,2.629201258810639,63.659848100346636
39,8,3.566593511310000,39,0.193359960998057,4.681751046853500
40,8,3.566593511310000,55,0.960127959690671,23.247212386644438
41,8,3.566593511310000,73,0.237715376971413,5.755711830125326
42,8,3.566593511310000,74,0.118116372341305,2.859906709771212
43,9,20.273983260000001,42,0.664589923455941,2.830471969519075
44,9,20.273983260000001,55,0.476419175468695,2.029057429720311
45,9,20.273983260000001,60,2.599054402271645,11.069308115040579
46,9,20.273983260000001,61,0.354102011642448,1.508111668459132
47,9,20.273983260000001,62,14.012851972240012,59.680388342624177
48,9,20.273983260000001,73,0.028170013487257,0.119975387441969
49,9,20.273983260000001,74,0.176186136986089,0.750372379351962
50,9,20.273983260000001,79,5.147699306723989,21.923923431500793
51,9,20.273983260000001,89,0.061652792676058,0.262577711989221
52,10,12.104261121200000,55,9.876678544551865,70.458525851476509
53,10,12.104261121200000,62,1.188206226784865,8.476458838785193
54,10,12.104261121200000,73,2.147839975712601,15.322320937240491
55,10,12.104261121200000,74,0.858567647907666,6.124873918136458
56,11,33.542863480900003,0,0.363986226901135,0.937182738231159
57,11,33.542863480900003,36,5.356379801373009,13.791474287350795
58,11,33.542863480900003,39,1.539590079231174,3.964098472877962
59,11,33.542863480900003,42,0.681640194777176,1.755070321392160
60,11,33.542863480900003,55,20.278085366649247,52.211512869039012
61,11,33.542863480900003,61,0.087351752348643,0.224911132358937
62,11,33.542863480900003,62,1.692795415740816,4.358567785643283
63,11,33.542863480900003,73,3.733515208587400,9.612962655760068
64,11,33.542863480900003,74,4.585534563886188,11.806721027396891
65,11,33.542863480900003,79,0.200278911679138,0.515673190316602
66,11,33.542863480900003,80,0.270086181943612,0.695411223955639
67,11,33.542863480900003,NA,0.101313206401538,0.260858739086745
68,12,6.370319561840000,55,4.424668960551062,59.973150682879648
69,12,6.370319561840000,62,1.323125765065937,17.934001749775440
70,12,6.370319561840000,73,0.504218530883751,6.834313301039646
71,12,6.370319561840000,79,0.046455811715827,0.629674540845603
72,12,6.370319561840000,91,1.085904598857458,14.718642392265979
73,13,4.824348170970000,36,4.530677169200477,81.098772193885196
74,13,4.824348170970000,39,0.856343699474461,15.328486230592258
75,13,4.824348170970000,55,0.231784847816201,4.148930914527641
76,14,5.614838509380000,55,4.783713079822854,73.567253221912182
77,14,5.614838509380000,62,0.070177928336675,1.079244791312726
78,14,5.614838509380000,73,1.034383126821554,15.907460198715034
79,14,5.614838509380000,74,0.125158875713119,1.924779883098224
80,14,5.614838509380000,79,0.448990478125839,6.904886569771911
81,15,4.392470622890000,36,2.951673781625290,58.036326775750446
82,15,4.392470622890000,39,1.278029032948179,25.128830647482740
83,15,4.392470622890000,55,0.604790421140887,11.891495168158158
84,15,4.392470622890000,62,0.099707021422001,1.960456915363357
85,15,4.392470622890000,74,0.087351752348643,1.717525451253896
86,15,4.392470622890000,79,0.033606331879534,0.660773582377736
87,16,5.875554336140000,55,3.432787959341860,50.446969303762280
88,16,5.875554336140000,62,2.923750873519500,42.966350475245846
89,16,5.875554336140000,73,0.288371980172182,4.237806880038193
90,16,5.875554336140000,74,0.122811374589181,1.804790076588674
91,16,5.875554336140000,80,0.006671845299613,0.098046945810652
