"name","area","width","new_width"
1,189.2294713,2030.51882,400
2,257.3832658,1910.962339,400
3,315.2854249,1585.108747,400
4,5.606208797,181.0683568,50
5,0.964370922,457.8955904,25
6,5.354158477,325.7368173,50
7,49.9144007,852.8910646,125
8,3.56657301,340.6274911,25
9,20.28793237,483.1049678,100
10,12.10419084,447.2090735,75
11,33.54266921,739.8831725,400
12,6.370282664,213.2570013,50
13,4.824320976,245.8444061,25
14,5.614806045,313.9281088,50
15,4.392445182,343.0791734,25
16,5.875520233,201.9873096,50
17,5.626942699,252.7428987,50
18,6.756477089,238.0977829,50
19,6.964794011,540.2189651,50
20,74.84723585,1296.568614,250
21,1.809747547,196.3455652,25
22,2.453839345,303.318483,25
23,16.347791,376.7384679,75
24,136.7392529,1668.404955,400
25,9.971414734,266.9179648,50
26,4.740759218,413.1809556,25
27,16.13236034,404.2609881,75
28,32.14766911,585.3837371,400
29,1.428246197,150.3492408,25
30,2.439729423,234.8614455,25
31,5.273899034,379.9726325,50
32,4.626191728,316.7514505,25
33,7.491734208,514.9763719,50
34,10.08579054,294.1469088,75
35,3.764393752,340.4843972,25
36,2.369101434,235.1292855,25
37,5.442464896,273.7577318,50
38,285.019534,1143.240099,400
39,4.821504721,460.5814079,25
40,1.796889202,230.281359,25
41,23.50986751,765.1039701,100
42,25.18703005,466.7328859,100
43,11.30645045,474.114232,75
44,5.662908261,283.1134235,50
45,4.712422198,181.738361,25
46,4.820406543,361.4689022,25
47,3.74611016,250.5848449,25
48,10.20981084,541.9694825,75
49,7.278684259,274.9393466,50
50,7.300710873,260.0748573,50
51,4.462388826,287.4622975,25
52,11.96705174,394.0179198,75
53,3.298068649,275.6939701,25
54,6.914736059,192.1327056,50
55,10.46891606,368.268433,75
56,14.57604202,460.7979737,75
57,7.186397515,287.6148812,50
58,18.24175557,436.7921594,75
59,5.541761199,267.7160368,50
60,3.000542454,229.0237664,25
61,8.812706186,346.2453048,50
62,18.75165821,575.9580422,75
63,28.94636649,437.7385815,100
64,4.131323083,310.6520905,25
65,7.111623298,240.6828265,50
66,7.121412551,252.202672,50
67,8.653818712,224.7427524,50
68,7.033202619,270.0457074,50
69,3.929655688,202.3597452,25
70,5.419065059,283.9928982,50
71,3.701810928,287.435246,25
72,8.101160393,424.6025498,50
73,13.59150568,496.1842511,75
74,36.58104361,656.1282694,400
75,14.84798888,351.9314151,75
76,35.2121217,614.6927303,400
77,11.92885531,556.9366221,75
78,29.20339895,538.8437555,100
79,16.14341963,528.0533297,75
80,7.536745984,535.3901556,50
81,6.630587686,478.1144135,50
82,1.503913327,149.3288852,25
83,5.719406509,217.7397256,50
84,19.80289409,587.9332145,75
85,6.598306727,557.7775201,50
86,5.966280139,444.7914232,50
87,5.063567492,301.7778016,50
88,5.643741425,390.845496,50
89,21.3431386,519.3903817,100
90,21.10621911,726.5022142,100
91,12.47686211,487.7439534,75
92,8.379104746,354.2603677,50
93,11.95255457,725.3471858,75
94,83.21662663,719.9449358,300
95,7.394075804,246.300007,50
96,14.43286193,430.1721466,75
97,5.014875437,366.7086881,50
