"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"C18800","J80","J666",6757.68940934359,0.01,0,0,0,0
"C19016","J666","J663",90.2455370958181,0.01,0,0,0,0
"C19016","J663","J638",559.492020471377,0.01,0,0,0,0
"C19017","J638","J646",239.979180082128,0.01,0,0,0,0
"C19017","J646","J195",5931.94495371127,0.01,0,0,0,0
"C19021","J195","J189",46.4253027613849,0.01,0,0,0,0
"C19021","J189","J441",6696.74700769707,0.01,0,0,0,0
"C19051","J441","J402",605.177298388115,0.01,0,0,0,0
"C19051","J402","J145",1886.6654850635,0.01,0,0,0,0
"C19052","J145","J233",461.203825470456,0.01,0,0,0,0
"C19052","J233","J143",451.568998584264,0.01,0,0,0,0
"C19053","J143","J145",92.2174156919845,0.01,0,0,0,0
"C19053","J145","J387",4197.72612831183,0.01,0,0,0,0
"C19781","J387","J374",901.243946243,0.01,0,0,0,0
"C19781","J374","J227",3874.13193632493,0.01,0,0,0,0
"C19783","J227","J235",93.7268137926591,0.01,0,0,0,0
"C19783","J235","J553",5693.68181325926,0.01,0,0,0,0
"C19790","J553","J502",468.61945346759,0.01,0,0,0,0
"C19790","J502","J209",2936.32150745889,0.01,0,0,0,0
"C19900","J209","J254",172.478523863093,0.01,0,0,0,0
"C19900","J254","J206",2319.56050187608,0.01,0,0,0,0
"C20180","J206","J192",46.4977465776929,0.01,0,0,0,0
"C20180","J192","J623",3984.27461073719,0.01,0,0,0,0
"C20186","J623","J631",235.247406013577,0.01,0,0,0,0
"C20186","J631","J190",4229.76362921358,0.01,0,0,0,0
"C20197","J190","J231",139.097206363227,0.01,0,0,0,0
"C20197","J231","J362",2498.11385948547,0.01,0,0,0,0
"C20331","J362","J366",31.1340065692852,0.01,0,0,0,0
"C20331","J366","J293",434.823758860307,0.01,0,0,0,0
"C20350","J293","J290",50.5323210830719,0.01,0,0,0,0
"C20350","J290","J68",4164.93892105192,0.01,0,0,0,0
"C20548","J68","J81",55.6528502838967,0.01,0,0,0,0
"C20548","J81","J174",799.700945281545,0.01,0,0,0,0
"C20549","J174","J164",71.564789952605,0.01,0,0,0,0
"C20549","J164","J670",5934.3745476563,0.01,0,0,0,0
"C20629","J670","J671",283.518557236572,0.01,0,0,0,0
"C20629","J671","J130",4812.52226325995,0.01,0,0,0,0
"C20657","J130","J153",224.382728717398,0.01,0,0,0,0
"C20657","J153","J250",502.375838880679,0.01,0,0,0,0
"C20658","J250","J260",121.093146674226,0.01,0,0,0,0
"C20658","J260","J260",0,0.01,0,0,0,0
"C20659","J260","J263",19.9590791090751,0.01,0,0,0,0
"C20659","J263","J311",2971.97093172666,0.01,0,0,0,0
"C209505","J311","J310",23.8341737458035,0.01,0,0,0,0
"C209505","J310","J311",23.8341737458035,0.01,0,0,0,0
"C209506","J311","J316",18.6065150000882,0.01,0,0,0,0
"C209506","J316","J346",172.837813002415,0.01,0,0,0,0
"C209507","J346","J347",13.0808929467864,0.01,0,0,0,0
"C209507","J347","J89",3489.91964418593,0.01,0,0,0,0
"C21012","J89","J107",197.457721590215,0.01,0,0,0,0
"C21012","J107","J8",5401.90913528083,0.01,0,0,0,0
"C21540","J8","J36",204.720463903722,0.01,0,0,0,0
"C21540","J36","J96",804.4078334933,0.01,0,0,0,0
"C21996","J96","J148",274.351642064837,0.01,0,0,0,0
"C21996","J148","J276",895.503447931525,0.01,0,0,0,0
"C21997","J276","J255",163.52224798438,0.01,0,0,0,0
"C21997","J255","J308",2797.03606370585,0.01,0,0,0,0
"C22025","J308","J312",200.573769803198,0.01,0,0,0,0
"C22025","J312","J352",470.84918192148,0.01,0,0,0,0
"C22131","J352","J356",86.6196376652249,0.01,0,0,0,0
"C22131","J356","J282",791.714822964328,0.01,0,0,0,0
"C22137","J282","J277",75.6332285987066,0.01,0,0,0,0
"C22137","J277","J214",1161.94182935972,0.01,0,0,0,0
"C22161","J214","J180",218.865735356166,0.01,0,0,0,0
"C22161","J180","J151",584.174608615946,0.01,0,0,0,0
"C22183","J151","J158",76.9828481548923,0.01,0,0,0,0
"C22183","J158","J382",2377.6606615283,0.01,0,0,0,0
"C22223","J382","J349",247.217081480009,0.01,0,0,0,0
"C22223","J349","J24",1742.89125351572,0.01,0,0,0,0
"C22224","J24","J52",186.718955235637,0.01,0,0,0,0
"C22224","J52","J166",1697.40366214304,0.01,0,0,0,0
"C22243","J166","J219",1017.26382985213,0.01,0,0,0,0
"C22243","J219","J527",3989.97563508912,0.01,0,0,0,0
"C22262","J527","J526",42.9567624859609,0.01,0,0,0,0
"C22262","J526","J491",1624.69968558719,0.01,0,0,0,0
"C22266","J491","J494",148.433813621306,0.01,0,0,0,0
"C22266","J494","J110",5744.5188875309,0.01,0,0,0,0
"C22292","J110","J111",85.9165071168181,0.01,0,0,0,0
"C22292","J111","J104",8124.22084227209,0.01,0,0,0,0
"C22317","J104","J118",101.200782945063,0.01,0,0,0,0
"C22317","J118","J534",3573.35334606925,0.01,0,0,0,0
"C22448","J534","J558",154.533953581484,0.01,0,0,0,0
"C22448","J558","J170",3696.46982571346,0.01,0,0,0,0
"C22972","J170","J181",74.3617600563232,0.01,0,0,0,0
"C22972","J181","J585",3589.22556680932,0.01,0,0,0,0
"C23110","J585","J583",27.9432033452874,0.77,0,0,0,0
"C23110","J583","J348",3937.21228985321,0.77,0,0,0,0
"C23383","J348","J321",178.649257280186,0.01,0,0,0,0
"C23383","J321","J314",3091.60851192568,0.01,0,0,0,0
"C23758","J314","J318",166.502873604841,0.01,0,0,0,0
"C23758","J318","J338",758.899032958817,0.01,0,0,0,0
"C23848","J338","J362",147.881515452762,0.01,0,0,0,0
"C23848","J362","J429",1996.31688140833,0.01,0,0,0,0
"C23953","J429","J453",215.323323981407,0.71,0,0,0,0
"C23953","J453","J410",12099.554217796,0.71,0,0,0,0
"C24","J410","J211",5466.07967334711,0.01,0,0,0,0
"C24","J211","J239",7627.38295390208,0.01,0,0,0,0
"C24012","J239","J232",32.9123472127576,0.01,0,0,0,0
"C24012","J232","J575",4010.60276367034,0.01,0,0,0,0
"C24071","J575","J568",42.0113827790978,0.01,0,0,0,0
"C24071","J568","J567",381.559397383531,0.01,0,0,0,0
"C24074","J567","J550",105.963448032698,0.01,0,0,0,0
"C24074","J550","J544",2161.56412029202,0.01,0,0,0,0
"C24131","J544","J532",120.113068989276,0.01,0,0,0,0
"C24131","J532","J71",6119.62208814828,0.01,0,0,0,0
"C24151","J71","J111",196.30337859078,0.01,0,0,0,0
"C24151","J111","J556",7620.97443307382,0.01,0,0,0,0
"C24170","J556","J558",34.5213520664429,0.01,0,0,0,0
"C24170","J558","J213",3526.90063439545,0.01,0,0,0,0
"C24206","J213","J201",37.7204453239694,0.01,0,0,0,0
"C24206","J201","J671",5320.24669662943,0.01,0,0,0,0
"C24207","J671","J672",131.528830243403,0.01,0,0,0,0
"C24207","J672","J259",4551.36369886113,0.01,0,0,0,0
"C24232","J259","J270",84.9328652287605,0.01,0,0,0,0
"C24232","J270","J588",3652.82552199404,0.01,0,0,0,0
"C24237","J588","J603",94.8758338122836,0.01,0,0,0,0
"C24237","J603","J107",5302.66737273681,0.01,0,0,0,0
"C24488","J107","J119",264.198360487976,0.01,0,0,0,0
"C24488","J119","J466",3378.99533965136,0.01,0,0,0,0
"C24581","J466","J464",128.178562936543,2.3,0,0,0,0
"C24581","J464","J563",641.5494264304,2.3,0,0,0,0
"C24814","J563","J583",133.328234787595,0.55,0,0,0,0
"C24814","J583","J217",4292.59118689699,0.55,0,0,0,0
"C25106","J217","J221",128.946538807353,0.01,0,0,0,0
"C25106","J221","J353",5258.64175378237,0.01,0,0,0,0
"C25561","J353","J341",126.200257373645,0.01,0,0,0,0
"C25561","J341","J298",1108.32489496161,0.01,0,0,0,0
"C25594","J298","J320",123.769304861575,0.01,0,0,0,0
"C25594","J320","J21",1954.271928652,0.01,0,0,0,0
"C25657","J21","J14",42.7045858451478,0.01,0,0,0,0
"C25657","J14","J254",1813.09386710655,0.01,0,0,0,0
"C25698","J254","J249",55.8921588073171,0.01,0,0,0,0
"C25698","J249","J337",1091.96165754569,0.01,0,0,0,0
"C25722","J337","J340",26.0632452732654,0.01,0,0,0,0
"C25722","J340","J29",1685.41310044034,0.01,0,0,0,0
"C25760","J29","J88",393.022885041299,0.01,0,0,0,0
"C25760","J88","J294",3270.41427236403,0.01,0,0,0,0
"C25778","J294","J345",527.758820292423,0.01,0,0,0,0
"C25778","J345","J324",1552.1179001779,0.01,0,0,0,0
"C25842","J324","J333",65.9666558565656,0.01,0,0,0,0
"C25842","J333","J647",4516.90919480868,0.01,0,0,0,0
"C25957","J647","J664",208.621805911076,0.01,0,0,0,0
"C25957","J664","J211",8675.01050432874,0.01,0,0,0,0
"C2600","J211","J134",3064.82072042501,0.01,0,0,0,0
"C2600","J134","J448",6015.18736151639,0.01,0,0,0,0
"C26298","J448","J446",81.5002133189977,1.28,0,0,0,0
"C26298","J446","J635",2051.99784276191,1.28,0,0,0,0
"C26520","J635","J641",115.686045858012,0.74,0,0,0,0
"C26520","J641","J641",0,0.74,0,0,0,0
"C26521","J641","J637",88.5193853771506,0.72,0,0,0,0
"C26521","J637","J443",3167.17863526962,0.72,0,0,0,0
"C26829","J443","J434",688.642306668363,0.01,0,0,0,0
"C26829","J434","J304",2961.70987732481,0.01,0,0,0,0
"C27081","J304","J308",16.6895115725117,0.01,0,0,0,0
"C27081","J308","J124",1012.46278144796,0.01,0,0,0,0
"C27082","J124","J135",156.460541327042,0.01,0,0,0,0
"C27082","J135","J361",1253.8096444397,0.01,0,0,0,0
"C27084","J361","J356",142.314049066006,0.01,0,0,0,0
"C27084","J356","J389",1643.9300723388,0.01,0,0,0,0
"C27369","J389","J393",68.0483644617377,0.01,0,0,0,0
"C27369","J393","J102",2046.93422774864,0.01,0,0,0,0
"C27447","J102","J60",206.639987360665,0.01,0,0,0,0
"C27447","J60","J366",1697.64043141429,0.01,0,0,0,0
"C27471","J366","J374",22.2262076864021,0.01,0,0,0,0
"C27471","J374","J149",1238.96044042925,0.01,0,0,0,0
"C27485","J149","J158",41.6504288180749,0.01,0,0,0,0
"C27485","J158","J394",2163.35621509185,0.01,0,0,0,0
"C27569","J394","J400",172.771230798088,0.01,0,0,0,0
"C27569","J400","J610",1991.20859669697,0.01,0,0,0,0
"C27587","J610","J545",345.485053108954,0.01,0,0,0,0
"C27587","J545","J642",1225.78736459256,0.01,0,0,0,0
"C27589","J642","J650",277.966097550261,0.01,0,0,0,0
"C27589","J650","J492",1588.05777382529,0.01,0,0,0,0
"C27591","J492","J485",83.9037942892802,0.01,0,0,0,0
"C27591","J485","J94",4861.14995378411,0.01,0,0,0,0
"C27594","J94","J107",57.5525891472685,0.01,0,0,0,0
"C27594","J107","J237",670.064177833284,0.01,0,0,0,0
"C27664","J237","J226",43.5229040254533,0.01,0,0,0,0
"C27664","J226","J602",3870.3863259708,0.01,0,0,0,0
"C27670","J602","J598",21.6597675704909,0.01,0,0,0,0
"C27670","J598","J81",4889.60737600214,0.01,0,0,0,0
"C27732","J81","J82",89.4689559633031,0.01,0,0,0,0
"C27732","J82","J672",6020.92236737445,0.01,0,0,0,0
"C27796","J672","J666",179.676180647819,0.01,0,0,0,0
"C27796","J666","J240",4317.77609021098,0.01,0,0,0,0
"C27832","J240","J250",50.4622249627391,0.01,0,0,0,0
"C27832","J250","J616",3438.04239309339,0.01,0,0,0,0
"C27839","J616","J589",192.762695291252,0.01,0,0,0,0
"C27839","J589","J507",2031.24051150057,0.01,0,0,0,0
"C28092","J507","J516",178.402764297053,2,0,0,0,0
"C28092","J516","J371",1850.40628589702,2,0,0,0,0
