"node","x","y"
"J85",-157.756535614,21.298033233
"J126",-157.755932816,21.298193614
"J65",-157.756757336,21.282074712
"J115",-157.75610027,21.282221979
"J419",-157.749331663,21.284351654
"J417",-157.749385729,21.284077801
"J149",-157.755660904,21.288595226
"J158",-157.755541537,21.288620429
"J492",-157.747371286,21.287075339
"J485",-157.747506666,21.286883335
"J40",-157.757225476,21.28897962
"J33",-157.757330041,21.288132746
"J436",-157.748624234,21.278915668
"J442",-157.748521396,21.278474991
"J59",-157.756882423,21.293738529
"J72",-157.756687912,21.293683789
"J221",-157.754528374,21.299546155
"J200",-157.754709468,21.299570279
