"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
151,"CIRCULAR","24",0,0,0,NA,0
152,"CIRCULAR","24",0,0,0,NA,0
153,"CIRCULAR","18",0,0,0,NA,0
154,"CIRCULAR","18",0,0,0,NA,0
155,"CIRCULAR","18",0,0,0,NA,0
156,"CIRCULAR","18",0,0,0,NA,0
157,"CIRCULAR","18",0,0,0,NA,0
158,"CIRCULAR","18",0,0,0,NA,0
159,"CIRCULAR","24",0,0,0,NA,0
160,"CIRCULAR","24",0,0,0,NA,0
161,"CIRCULAR","18",0,0,0,NA,0
162,"CIRCULAR","18",0,0,0,NA,0
163,"CIRCULAR","48",0,0,0,NA,0
164,"CIRCULAR","48",0,0,0,NA,0
165,"CIRCULAR","18",0,0,0,NA,0
166,"CIRCULAR","18",0,0,0,NA,0
167,"CIRCULAR","18",0,0,0,NA,0
168,"CIRCULAR","18",0,0,0,NA,0
169,"CIRCULAR","18",0,0,0,NA,0
170,"CIRCULAR","18",0,0,0,NA,0
171,"CIRCULAR","24",0,0,0,NA,0
172,"CIRCULAR","24",0,0,0,NA,0
173,"CIRCULAR","30",0,0,0,NA,0
174,"CIRCULAR","30",0,0,0,NA,0
175,"CIRCULAR","24",0,0,0,NA,0
176,"CIRCULAR","24",0,0,0,NA,0
177,"CIRCULAR","42",0,0,0,NA,0
178,"CIRCULAR","42",0,0,0,NA,0
179,"CIRCULAR","48",0,0,0,NA,0
180,"CIRCULAR","48",0,0,0,NA,0
181,"CIRCULAR","48",0,0,0,NA,0
182,"CIRCULAR","48",0,0,0,NA,0
183,"CIRCULAR","18",0,0,0,NA,0
184,"CIRCULAR","18",0,0,0,NA,0
185,"CIRCULAR","18",0,0,0,NA,0
186,"CIRCULAR","18",0,0,0,NA,0
187,"CIRCULAR","60",0,0,0,NA,0
188,"CIRCULAR","60",0,0,0,NA,0
189,"CIRCULAR","24",0,0,0,NA,0
190,"CIRCULAR","24",0,0,0,NA,0
191,"CIRCULAR","18",0,0,0,NA,0
192,"CIRCULAR","18",0,0,0,NA,0
193,"CIRCULAR","24",0,0,0,NA,0
194,"CIRCULAR","24",0,0,0,NA,0
195,"CIRCULAR","18",0,0,0,NA,0
196,"CIRCULAR","18",0,0,0,NA,0
197,"CIRCULAR","18",0,0,0,NA,0
198,"CIRCULAR","18",0,0,0,NA,0
199,"CIRCULAR","24",0,0,0,NA,0
200,"CIRCULAR","24",0,0,0,NA,0
201,"CIRCULAR","30",0,0,0,NA,0
202,"CIRCULAR","30",0,0,0,NA,0
203,"CIRCULAR","24",0,0,0,NA,0
204,"CIRCULAR","24",0,0,0,NA,0
205,"CIRCULAR","24",0,0,0,NA,0
206,"CIRCULAR","24",0,0,0,NA,0
207,"CIRCULAR","24",0,0,0,NA,0
208,"CIRCULAR","24",0,0,0,NA,0
209,"CIRCULAR","24",0,0,0,NA,0
210,"CIRCULAR","24",0,0,0,NA,0
211,"CIRCULAR","18",0,0,0,NA,0
212,"CIRCULAR","18",0,0,0,NA,0
213,"CIRCULAR","48",0,0,0,NA,0
214,"CIRCULAR","48",0,0,0,NA,0
215,"CIRCULAR","48",0,0,0,NA,0
216,"CIRCULAR","36",0,0,0,NA,0
217,"CIRCULAR","36",0,0,0,NA,0
218,"CIRCULAR","24",0,0,0,NA,0
219,"CIRCULAR","24",0,0,0,NA,0
220,"CIRCULAR","24",0,0,0,NA,0
221,"CIRCULAR","24",0,0,0,NA,0
222,"CIRCULAR","24",0,0,0,NA,0
223,"CIRCULAR","24",0,0,0,NA,0
224,"CIRCULAR","30",0,0,0,NA,0
225,"CIRCULAR","30",0,0,0,NA,0
226,"CIRCULAR","24",0,0,0,NA,0
227,"CIRCULAR","24",0,0,0,NA,0
228,"CIRCULAR","30",0,0,0,NA,0
229,"CIRCULAR","30",0,0,0,NA,0
230,"CIRCULAR","18",0,0,0,NA,0
231,"CIRCULAR","18",0,0,0,NA,0
232,"CIRCULAR","30",0,0,0,NA,0
233,"CIRCULAR","30",0,0,0,NA,0
234,"CIRCULAR","18",0,0,0,NA,0
235,"CIRCULAR","18",0,0,0,NA,0
236,"CIRCULAR","18",0,0,0,NA,0
237,"CIRCULAR","18",0,0,0,NA,0
238,"CIRCULAR","18",0,0,0,NA,0
239,"CIRCULAR","18",0,0,0,NA,0
240,"CIRCULAR","60",0,0,0,NA,0
241,"CIRCULAR","60",0,0,0,NA,0
242,"CIRCULAR","24",0,0,0,NA,0
243,"CIRCULAR","24",0,0,0,NA,0
244,"CIRCULAR","18",0,0,0,NA,0
245,"CIRCULAR","18",0,0,0,NA,0
246,"CIRCULAR","30",0,0,0,NA,0
247,"CIRCULAR","30",0,0,0,NA,0
