"name","rain_gage","outlet","area","imperv","width","slope","curblen"
1,"R1","O1",189.229471299629,0,400,28.12488788,0
2,"R1","O1",257.38326581152,0.000927115,400,36.40935203,0
3,"R1","O1",315.285424906496,0,400,33.94600956,0
4,"R1","O1",5.60620879663104,38.51763637,181.0683568,20.19128626,0
5,"R1","O1",0.964370921522816,59.22528719,400,4.973907902,0
6,"R1","O1",5.35415847695616,58.53240322,325.7368173,0,0
7,"R1","O1",49.9144007047488,14.10178763,400,24.37085007,0
8,"R1","O1",3.56657300951616,46.87794523,340.6274911,3.156830956,0
9,"R1","O1",20.2879323675597,1.783702012,400,34.31882952,0
10,"R1","O1",12.1041908367994,46.82731603,400,13.03499906,0
11,"R1","O1",33.5426692073152,60.17684089,400,0.94758568,0
12,"R1","O1",6.37028266386368,28.88469268,213.2570013,18.41688055,0
13,"R1","O1",4.82432097601344,60.72206092,245.8444061,2.801558317,0
14,"R1","O1",5.61480604476928,51.97367076,313.9281088,10.06220211,0
15,"R1","O1",4.392445181984,53.68409461,343.0791734,0.780762234,0
16,"R1","O1",5.875520233216,29.72936196,201.9873096,25.49224019,0
17,"R1","O1",5.62694269886976,48.09130146,252.7428987,10.78205321,0
18,"R1","O1",6.75647708888192,41.48075899,238.0977829,17.3274096,0
19,"R1","O1",6.96479401126144,43.40998739,500,2.445729247,0
20,"R1","O1",74.8472358459648,5.926748961,400,28.73820831,0
21,"R1","O1",1.80974754733062,64.38962281,196.3455652,2.133592209,0
22,"R1","O1",2.45383934467712,57.3645861,303.318483,5.224537757,0
23,"R1","O1",16.3477910008493,60.15848873,376.7384679,2.091764046,0
24,"R1","O1",136.739252919661,0.81502431,400,29.28704431,0
25,"R1","O1",9.97141473449856,26.67894757,266.9179648,27.32156393,0
26,"R1","O1",4.74075921804288,52.66356043,413.1809556,2.385881052,0
27,"R1","O1",16.1323603377741,13.33065868,404.2609881,27.94698162,0
28,"R1","O1",32.1476691130368,45.64873898,500,9.695153025,0
29,"R1","O1",1.42824619723571,63.75089696,150.3492408,4.303892997,0
30,"R1","O1",2.43972942276288,28.87544298,234.8614455,1.17347833,0
31,"R1","O1",5.27389903400448,47.00969557,379.9726325,10.27077404,0
32,"R1","O1",4.62619172821504,55.41356127,316.7514505,1.91627193,0
33,"R1","O1",7.49173420793792,52.76045359,500,2.383154493,0
34,"R1","O1",10.0857905350464,55.84532683,294.1469088,6.571679077,0
35,"R1","O1",3.76439375235776,58.1059099,340.4843972,2.502320422,0
36,"R1","O1",2.36910143408512,57.37834523,235.1292855,3.413503412,0
37,"R1","O1",5.44246489584576,57.21574745,273.7577318,2.866642563,0
38,"R1","O1",285.01953400992,0.093206635,400,29.49279649,0
39,"R1","O1",4.8215047207296,42.93308382,400,11.31944206,0
40,"R1","O1",1.79688920214509,65.26444349,230.281359,7.774445572,0
41,"R1","O1",23.5098675121152,0,400,31.78168357,0
42,"R1","O1",25.187030048416,52.07524372,400,12.77419164,0
43,"R1","O1",11.3064504504666,0.158683592,400,33.91832406,0
44,"R1","O1",5.66290826114112,56.58470774,283.1134235,9.792575178,0
45,"R1","O1",4.71242219811584,75.81187507,181.738361,10.83737171,0
46,"R1","O1",4.82040654317504,59.97948939,361.4689022,9.180995339,0
47,"R1","O1",3.7461101602368,73.67874059,250.5848449,9.0178653,0
48,"R1","O1",10.2098108431046,39.93227871,400,7.954645437,0
49,"R1","O1",7.2786842591456,61.33457951,274.9393466,11.6266179,0
50,"R1","O1",7.3007108725664,1.474599605,260.0748573,32.39232894,0
51,"R1","O1",4.46238882615808,65.70617625,287.4622975,3.205696179,0
52,"R1","O1",11.9670517391187,49.06820134,394.0179198,14.2092259,0
53,"R1","O1",3.29806864907904,32.12886722,275.6939701,21.1789757,0
54,"R1","O1",6.914736059184,65.90850376,192.1327056,11.98504143,0
55,"R1","O1",10.4689160560141,43.23871699,368.268433,14.01245628,0
56,"R1","O1",14.5760420155904,7.289334,400,29.99659999,0
57,"R1","O1",7.18639751451456,56.38068612,287.6148812,15.03656872,0
58,"R1","O1",18.2417555659955,50.48965135,400,13.47371249,0
59,"R1","O1",5.54176119862272,58.61615029,267.7160368,9.355130215,0
60,"R1","O1",3.0005424535968,66.27512006,229.0237664,10.20005574,0
61,"R1","O1",8.81270618648192,49.27959815,346.2453048,8.729538441,0
62,"R1","O1",18.7516582128544,57.62114314,400,4.969306881,0
63,"R1","O1",28.9463664934912,59.59508223,400,11.35084752,0
64,"R1","O1",4.1313230833408,10.63857967,310.6520905,28.08302572,0
65,"R1","O1",7.1116232981888,54.98557019,240.6828265,12.2859432,0
66,"R1","O1",7.12141255061888,30.37886608,252.202672,20.46153661,0
67,"R1","O1",8.65381871179648,65.31544476,224.7427524,13.09451411,0
68,"R1","O1",7.03320261915968,56.40239857,270.0457074,16.77800082,0
69,"R1","O1",3.9296556876128,39.74706986,202.3597452,23.71009394,0
70,"R1","O1",5.4190650594496,38.95121684,283.9928982,18.90064401,0
71,"R1","O1",3.7018109283264,63.33945328,287.435246,1.229756545,0
72,"R1","O1",8.10116039316288,45.27106014,400,3.150903879,0
73,"R1","O1",13.5915056807091,25.5618759,400,10.67842504,0
74,"R1","O1",36.581043606432,49.9518791,400,0.513034194,0
75,"R1","O1",14.847988881337,49.96926038,351.9314151,3.103798958,0
76,"R1","O1",35.212121702336,21.94615359,400,12.66893273,0
77,"R1","O1",11.9288553084851,27.73969292,400,0.063163121,0
78,"R1","O1",29.2033989529984,45.86953124,400,0.662519556,0
79,"R1","O1",16.1434196292506,55.67441413,400,0.780962719,0
