"name","elevation","structure","maxdepth","initdepth","surdepth","aponded"
61,269.072998,"Man Hole",0,0,0,0
15,280.4500122,"Grate/Drain Inlet",0,0,0,0
25,280.4500122,"Man Hole",0,0,0,0
301,166.0939941,"Catch Basin",0,0,0,0
298,166.0939941,"Man Hole",0,0,0,0
290,166.0939941,"Man Hole",0,0,0,0
298,166.0939941,"Man Hole",0,0,0,0
87,105.5469971,"Catch Basin",0,0,0,0
78,105.5469971,"Catch Basin",0,0,0,0
207,45.7737999,NA,0,0,0,0
234,45.7737999,"Catch Basin",0,0,0,0
377,97.260498,"Inlet/Outlet",0,0,0,0
330,97.260498,NA,0,0,0,0
331,97.260498,"Man Hole",0,0,0,0
337,97.260498,"Man Hole",0,0,0,0
347,166.0939941,"Man Hole",0,0,0,0
352,166.0939941,"Man Hole",0,0,0,0
37,280.4500122,"Catch Basin",0,0,0,0
40,105.5469971,"Man Hole",0,0,0,0
158,105.5469971,"Man Hole",0,0,0,0
165,78.2424011,"Catch Basin",0,0,0,0
271,119.4970016,"Man Hole",0,0,0,0
239,119.4970016,"Man Hole",0,0,0,0
48,150.9309998,"Man Hole",0,0,0,0
55,150.9309998,"Man Hole",0,0,0,0
69,150.9309998,"Man Hole",0,0,0,0
98,150.9309998,NA,0,0,0,0
319,268.9100037,"Catch Basin",0,0,0,0
314,226.7949982,"Man Hole",0,0,0,0
128,150.9309998,"Man Hole",0,0,0,0
141,150.9309998,"Catch Basin",0,0,0,0
131,150.9309998,"Catch Basin",0,0,0,0
128,150.9309998,"Man Hole",0,0,0,0
49,150.9309998,"Man Hole",0,0,0,0
45,150.9309998,"Man Hole",0,0,0,0
42,150.9309998,"Catch Basin",0,0,0,0
45,150.9309998,"Man Hole",0,0,0,0
384,48.7173996,"Man Hole",0,0,0,0
382,48.7173996,"Man Hole",0,0,0,0
380,48.7173996,"Catch Basin",0,0,0,0
382,48.7173996,"Man Hole",0,0,0,0
52,52.8501015,"Man Hole",0,0,0,0
54,52.8501015,"Man Hole",0,0,0,0
11,167.7129974,"Man Hole",0,0,0,0
20,167.7129974,"Man Hole",0,0,0,0
279,10.0205002,"Man Hole",0,0,0,0
284,3.56319,"Man Hole",0,0,0,0
284,3.56319,"Man Hole",0,0,0,0
287,3.56319,"Inlet/Outlet",0,0,0,0
555,386.3580017,"Catch Basin",0,0,0,0
537,365.8829956,"Man Hole",0,0,0,0
514,224.9929962,"Catch Basin",0,0,0,0
526,224.9929962,"Man Hole",0,0,0,0
559,256.4549866,"Catch Basin",0,0,0,0
568,256.4549866,"Man Hole",0,0,0,0
599,256.4549866,"Man Hole",0,0,0,0
619,256.4549866,"Catch Basin",0,0,0,0
550,224.9929962,"Man Hole",0,0,0,0
548,99.0767975,"Man Hole",0,0,0,0
607,124.0500031,"Catch Basin",0,0,0,0
610,124.0500031,"Catch Basin",0,0,0,0
593,124.0500031,"Man Hole",0,0,0,0
620,124.0500031,"Catch Basin",0,0,0,0
571,754.7379761,NA,0,0,0,0
594,643.4370117,NA,0,0,0,0
570,643.4370117,NA,0,0,0,0
594,643.4370117,NA,0,0,0,0
587,643.4370117,NA,0,0,0,0
576,643.4370117,NA,0,0,0,0
517,641.210022,"Catch Basin",0,0,0,0
506,641.210022,"Man Hole",0,0,0,0
506,641.210022,"Man Hole",0,0,0,0
491,641.210022,"Catch Basin",0,0,0,0
497,507.1589966,"Catch Basin",0,0,0,0
492,507.1589966,"Catch Basin",0,0,0,0
533,365.8829956,"Man Hole",0,0,0,0
540,365.8829956,"Catch Basin",0,0,0,0
1,-0.196553,NA,0,0,0,0
3,-0.196553,"Man Hole",0,0,0,0
576,643.4370117,NA,0,0,0,0
557,643.4370117,"Catch Basin",0,0,0,0
557,643.4370117,"Catch Basin",0,0,0,0
544,641.210022,"Man Hole",0,0,0,0
532,641.210022,"Catch Basin",0,0,0,0
541,507.1589966,"Man Hole",0,0,0,0
137,35.9594002,NA,0,0,0,0
261,10.0205002,"Man Hole",0,0,0,0
488,13.0648003,"Man Hole",0,0,0,0
484,13.0648003,NA,0,0,0,0
482,13.0648003,"Man Hole",0,0,0,0
395,-1.43618,NA,0,0,0,0
390,-1.43618,NA,0,0,0,0
436,2.6807799,"Catch Basin",0,0,0,0
442,-0.0693658,"Man Hole",0,0,0,0
22,1.10892,"Man Hole",0,0,0,0
41,-0.0931948,"Man Hole",0,0,0,0
46,-0.0931948,"Catch Basin",0,0,0,0
71,-0.0931948,"Man Hole",0,0,0,0
409,2.6807799,"Man Hole",0,0,0,0
406,-1.43618,"Man Hole",0,0,0,0
279,10.0205002,"Man Hole",0,0,0,0
272,10.0205002,"Man Hole",0,0,0,0
605,515.8129883,"Man Hole",0,0,0,0
574,386.3580017,"Catch Basin",0,0,0,0
569,386.3580017,"Catch Basin",0,0,0,0
574,386.3580017,"Catch Basin",0,0,0,0
67,269.072998,"Man Hole",0,0,0,0
104,269.072998,"Man Hole",0,0,0,0
269,316.0440063,"Grate/Drain Inlet",0,0,0,0
245,253.3560028,"Man Hole",0,0,0,0
618,754.7379761,NA,0,0,0,0
604,754.7379761,NA,0,0,0,0
595,754.7379761,NA,0,0,0,0
596,754.7379761,NA,0,0,0,0
639,124.0500031,NA,0,0,0,0
661,8.9800501,NA,0,0,0,0
272,10.0205002,"Man Hole",0,0,0,0
261,10.0205002,"Man Hole",0,0,0,0
157,335.303009,"Catch Basin",0,0,0,0
154,335.303009,"Catch Basin",0,0,0,0
162,335.303009,"Catch Basin",0,0,0,0
154,335.303009,"Catch Basin",0,0,0,0
177,316.0440063,"Catch Basin",0,0,0,0
168,316.0440063,"Catch Basin",0,0,0,0
82,299.4580078,"Catch Basin",0,0,0,0
99,299.4580078,"Man Hole",0,0,0,0
99,299.4580078,"Man Hole",0,0,0,0
117,299.4580078,NA,0,0,0,0
92,335.303009,"Catch Basin",0,0,0,0
