"Subcatchment","X_Coord","Y_Coord"
2129,-157.749204593,21.2848035000001
2129,-157.749263525,21.284632727
2129,-157.749351069,21.284654484
2129,-157.749304008,21.284816791
2133,-157.755596779,21.2992505890001
2133,-157.755602798,21.299187499
2133,-157.75588017,21.299212491
2133,-157.755908322,21.2986829330001
2133,-157.756007947,21.298675793
2133,-157.756002507,21.2985947230001
2133,-157.755990387,21.298508226
2133,-157.755973735,21.29841566
2133,-157.755961161,21.2983564690001
2133,-157.756074243,21.298330821
2133,-157.75609795,21.298431726
2133,-157.756116589,21.2985465310001
2133,-157.756128476,21.298651039
2133,-157.756134137,21.29872033
2133,-157.756320901,21.298701927
2133,-157.756358953,21.2988623150001
2133,-157.756328184,21.2993585680001
2133,-157.755993474,21.2993132230001
2133,-157.755992765,21.299291585
