"Name","X_Coord","Y_Coord"
2648,-157.765163757,21.2878963630001
18959,-157.765005749,21.287517189
10580,-157.764788161,21.287431736
29986,-157.762187987,21.2874094060001
27272,-157.762297818,21.2880609200001
33692,-157.760688271,21.287334441
35589,-157.760852386,21.2871101650001
32776,-157.752900787,21.29309268
13293,-157.753042805,21.293139108
25419,-157.752683917,21.293016461
41030,-157.757897454,21.276393382
52082,-157.757749777,21.2760000440001
24472,-157.752413471,21.285687228
23544,-157.752489833,21.2856912980001
51140,-157.757380115,21.285812462
2638,-157.757459004,21.2856186060001
39236,-157.754667712,21.285514155
24473,-157.754320961,21.2856514530001
41073,-157.752284831,21.285329959
56640,-157.764561883,21.2872701160001
32786,-157.764064183,21.2869370670001
58483,-157.763422443,21.28690622
45641,-157.763463737,21.28702846
2650,-157.761023834,21.2868925670001
2205,-157.753250498,21.2824366680001
55705,-157.75293123,21.2825674740001
25353,-157.752293138,21.2825624650001
48342,-157.752652084,21.282416341
46621,-157.763879933,21.29176584
57628,-157.76351133,21.2917350870001
40222,-157.761927779,21.290709285
3225,-157.762029219,21.29067056
42912,-157.760432426,21.285938469
44719,-157.760518428,21.285657713
14269,-157.760546107,21.28556981
2645,-157.764431259,21.2892849560001
2646,-157.763777454,21.2892159400001
15190,-157.763714709,21.2891915920001
45639,-157.763677673,21.28916257
47476,-157.762780399,21.289118606
51141,-157.762632406,21.2891358150001
2647,-157.762203808,21.288072078
9558,-157.756592211,21.284025038
55703,-157.756548922,21.28400349
2196,-157.753029223,21.284127041
30879,-157.753373855,21.283987833
30880,-157.755321558,21.2837726060001
8634,-157.754519159,21.284101064
52989,-157.755542742,21.2838979270001
18889,-157.749385729,21.284077801
31846,-157.749456076,21.283728872
45579,-157.75610027,21.282221979
20751,-157.755897164,21.2822672130001
18890,-157.756121085,21.2822900570001
49223,-157.756757336,21.2820747120001
52075,-157.756934771,21.2826809270001
44656,-157.754646418,21.2819743270001
43755,-157.754241562,21.282114662
29975,-157.757869712,21.28928374
38313,-157.757826132,21.289439558
29077,-157.7531323,21.289239056
41959,-157.753085322,21.2892279970001
2199,-157.757135916,21.283604704
41914,-157.757062615,21.283526743
57492,-157.749837338,21.283627675
46468,-157.750496621,21.2834760060001
28162,-157.763627716,21.2843669120001
2295,-157.763225141,21.284249946
20765,-157.762726293,21.2841820290001
45589,-157.762569558,21.2841584710001
38314,-157.754252928,21.2892083200001
33681,-157.754315639,21.2892524370001
2206,-157.753629677,21.282265517
54757,-157.75333543,21.282364101
20750,-157.753697083,21.2822812220001
29977,-157.753168237,21.2879471270001
36507,-157.753172335,21.2879107860001
14258,-157.755189945,21.28786612
16125,-157.755149984,21.2878308320001
39224,-157.753330426,21.292843685
21693,-157.753258921,21.2927874260001
33679,-157.755642178,21.292557001
29973,-157.755673554,21.2925403720001
29073,-157.752553062,21.29244412
34620,-157.75231309,21.2923507900001
50230,-157.752417642,21.292185686
50231,-157.752464721,21.29213672
34621,-157.755959542,21.291624454
9611,-157.756332283,21.2918065810001
50233,-157.754166484,21.2893051460001
26353,-157.754436632,21.289797234
52129,-157.754366685,21.2896881120001
57545,-157.757336981,21.289941829
56628,-157.752256113,21.2893229260001
23529,-157.752173418,21.2893723980001
40134,-157.752278062,21.289370295
30947,-157.755794731,21.286709591
48404,-157.755712383,21.2867731310001
41976,-157.763818355,21.284541926
48394,-157.754797185,21.2946642520001
41060,-157.755192803,21.294616252
34619,-157.757039779,21.2937838880001
48395,-157.756882423,21.2937385290001
50229,-157.756687912,21.2936837890001
12438,-157.753267666,21.2779888320001
50186,-157.753357171,21.2781341560001
1956,-157.761061267,21.2766361120001
12374,-157.756781409,21.290197339
27266,-157.756659824,21.290230239
2571,-157.755213312,21.2903823510001
35579,-157.755903156,21.2901958420001
38329,-157.754180097,21.28465297
42095,-157.753917786,21.2847644010001
10579,-157.757412641,21.284562873
22618,-157.757496582,21.2846455600001
40145,-157.754460038,21.2845492010001
33693,-157.762464974,21.2866323690001
14268,-157.762230511,21.286767744
50249,-157.763466681,21.286566044
14270,-157.76333966,21.285184068
22621,-157.762930215,21.284999624
50235,-157.754281003,21.2891059250001
50234,-157.754086725,21.289136006
10570,-157.75385797,21.2891434540001
2575,-157.753354688,21.289086191
29976,-157.75311021,21.2890550970001
47469,-157.752939148,21.289033983
22612,-157.753394269,21.287588855
11505,-157.753529501,21.2875185130001
42904,-157.753591036,21.287606673
52141,-157.752424834,21.287452337
53063,-157.752283835,21.287458794
13296,-157.752847975,21.2877865130001
56638,-157.756420433,21.287335451
38326,-157.756431211,21.2872563
53064,-157.753928814,21.287170109
52130,-157.753688168,21.28748453
30946,-157.756837873,21.287123916
53916,-157.757333964,21.286862124
17146,-157.763135307,21.2905857590001
58563,-157.763296313,21.290758738
18110,-157.762711347,21.2905937940001
34727,-157.762684191,21.2902871220001
43897,-157.763293099,21.28989066
24552,-157.763113709,21.289687423
23530,-157.755541537,21.288620429
54803,-157.755484718,21.288565288
18109,-157.763333206,21.290741516
10630,-157.746454284,21.285542283
27329,-157.746393482,21.285427848
33758,-157.756931097,21.2960684930001
33750,-157.756828026,21.2963850730001
29079,-157.757330041,21.288132746
32778,-157.757277676,21.288047868
8685,-157.75760972,21.287967829
55758,-157.757445929,21.287990775
8684,-157.753128507,21.2879922330001
53052,-157.753342919,21.2879979680001
29080,-157.756495809,21.28793855
28152,-157.75660397,21.2880295310001
45638,-157.754727758,21.286499346
19880,-157.754398372,21.2867499540001
54815,-157.751932169,21.286760008
2635,-157.752552015,21.28648865
25430,-157.752660132,21.286385298
36514,-157.752509572,21.2859623570001
20806,-157.753788901,21.2858635100001
35588,-157.753564094,21.2859285600001
7715,-157.75238812,21.2889865820001
41960,-157.75230717,21.289090576
