OBJECTID_12,OBJECTID,PolygonID,StreamLink,StreamLen,DSNodeID,DSWSID,US1WSID,US2WSID,Area_M,Area_Acre,Area_SqMi,AveSlope,Shape_Leng,Percent_Ar,OBJECTID_1,POLYGONI_1,VALUE_1,ORIG_FID,POINT_X,POINT_Y
35,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7512454,21.32741573
36,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7511976,21.32737021
37,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7511498,21.32732469
38,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7511016,21.32732433
39,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7510534,21.32732397
40,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7510052,21.32732361
41,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7509569,21.32732325
42,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7509087,21.3273229
43,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7508605,21.32732254
44,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7508123,21.32732218
45,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7507641,21.32732182
46,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7507159,21.32732146
47,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7506677,21.3273211
