"node1","x_coord","y_coord"
1,-157.753042805181,21.2931391087829
2,-157.752900786942,21.2930926803829
3,-157.752900786942,21.2930926803829
4,-157.752683917229,21.2930164610409
5,-157.757897453505,21.2763933824487
6,-157.757810789436,21.2761822522092
7,-157.75774977763,21.2760000441668
8,-157.75248983274,21.2856912986146
9,-157.752413471305,21.285687228283
10,-157.7573801149,21.2858124615759
11,-157.75745900433,21.2856186055143
12,-157.754320961243,21.2856514523527
13,-157.754667711945,21.2855141555539
14,-157.752413471305,21.285687228283
15,-157.75228483138,21.2853299591104
16,-157.752931229892,21.2825674747093
17,-157.753053575462,21.2825159741329
18,-157.753250497313,21.2824366683176
19,-157.752293138418,21.2825624645861
20,-157.752455524503,21.2824983995815
21,-157.752652083927,21.2824163409414
22,-157.756592211661,21.2840250383249
23,-157.756548921895,21.2840034905687
24,-157.75302922272,21.28412704123
25,-157.753373855519,21.2839878333718
26,-157.754519159232,21.2841010634134
27,-157.754591169747,21.2840716187103
28,-157.754884721952,21.2839510097314
29,-157.755154759584,21.2838405594943
30,-157.755321557744,21.2837726058211
31,-157.755542741504,21.2838979272476
32,-157.755392351476,21.2838120231064
33,-157.755321557744,21.2837726058211
34,-157.749385729168,21.28407780065
35,-157.749431259145,21.2838580477108
36,-157.749456075937,21.2837288717901
37,-157.755897164323,21.2822672126618
38,-157.756100269911,21.2822219785615
39,-157.75612108472,21.2822900572404
40,-157.756100269911,21.2822219785615
41,-157.756100269911,21.2822219785615
42,-157.756249021375,21.2821867098488
43,-157.756581406307,21.2821152542157
44,-157.756757336182,21.2820747118785
45,-157.756934770623,21.2826809268833
46,-157.75691542081,21.2826144633868
47,-157.756862443547,21.282457515502
48,-157.756835442302,21.2823553399271
49,-157.756796029513,21.2822098098349
50,-157.756757336182,21.2820747118785
51,-157.754241561899,21.2821146615624
52,-157.754646417798,21.2819743268537
53,-157.75782613187,21.2894395577894
54,-157.757869712117,21.2892837394531
55,-157.753132300315,21.2892390566372
56,-157.75308532153,21.2892279967747
