"Subcatchment","N_Imperv","N_Perv","S_Imperv","S_Perv","PctZero","RouteTo"
2129,0.01,0.1,0.05,0.05,25,"OUTLET"
2133,0.01,0.1,0.05,0.05,25,"OUTLET"
