FID,OBJECTID,LENGTH,PEREN_ID,LU_CODE,STREAM_NM,FLAG,STREAM_COD,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
278,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754594241000007,21.309060354000000,556.9500122
279,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754623901999992,21.309110261000001,556.6250000
280,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754676447999998,21.309309391999999,561.5670166
281,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754718013999991,21.309377457000000,564.2139893
282,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754735748000002,21.309422754000000,567.6560059
283,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754735818000000,21.309711824000001,584.0020142
284,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754724116000006,21.309793048000000,586.6489868
285,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754699805000001,21.309838035999999,587.7999878
286,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754694389999997,21.309892192000000,589.4320068
287,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754652958999998,21.309964157000000,597.0819702
288,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754653389999987,21.310036431000000,597.8070068
289,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754636011000002,21.310108570000001,601.3369751
290,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754694575000002,21.310443244999998,606.7319946
291,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754730216000013,21.310651286999999,622.0789795
292,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754729529999992,21.310732581000000,627.5079956
293,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754777361000009,21.310787137999998,630.2189941
294,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754789071999994,21.311252460999999,653.4229736
295,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754730706999993,21.311459795000001,667.4180298
296,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754659373000010,21.311626388000001,679.2169800
297,1435,2174.684000000000196,399,C, ,1,3-3-,2174.654954739999994,4,-157.754630055999996,21.311811366000001,686.6719971
298,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.755862068999988,21.303604411999999,329.3059998
299,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.755802722999988,21.303631069000001,331.3439941
300,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.755450368999988,21.303980777000000,347.5939941
301,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.754992085999987,21.304325166999998,376.3139954
302,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.754575394000000,21.304719555999998,404.4280090
303,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.754346391000013,21.304862399000001,415.7890015
304,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.753911996999989,21.305080502999999,442.6830139
305,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.753776571999992,21.305147253000001,450.6239929
306,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.753411994999993,21.305225847999999,466.6940002
307,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.753265539000012,21.305301549999999,471.3550110
308,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.753018311999995,21.305471345000001,485.4379883
309,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752836070999990,21.305646150000001,495.6969910
310,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752801602000005,21.305727200000000,497.7560120
311,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752766046000005,21.305799205000000,501.0759888
312,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752713548000003,21.306011107000000,513.0939941
313,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752678198000012,21.306069563000001,516.3670044
314,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752665820999994,21.306114633000000,518.0100098
315,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752589973999989,21.306236022000000,519.1359863
316,1438,1531.801999999999907,400,U, ,1,3-3-,1531.778678359999958,5,-157.752571759999995,21.306258480000000,520.1779785
317,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755862068999988,21.303604411999999,329.3059998
318,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755908922000003,21.303916412000000,340.9450073
319,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755897605999991,21.304097007999999,345.3290100
320,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755868112000002,21.304169053999999,347.2229919
321,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755774008999992,21.304340002000000,350.8210144
322,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755591772999992,21.304514799000000,356.7680054
323,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755510054000013,21.304636148000000,360.0729980
324,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755422070000009,21.304771005999999,362.4289856
325,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755392953000012,21.304946941000001,368.7739868
326,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755386136999988,21.305181772000001,381.0350037
327,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755422258000010,21.305322058000002,389.1470032
328,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755445852000008,21.305376428999999,392.0530090
329,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755486071000007,21.305480623000001,398.8919983
330,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755469352000006,21.305597928000001,404.5870056
331,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755445253000005,21.305737771000000,410.5050049
332,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755369142000006,21.305908852000002,417.2730103
333,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755298046999997,21.306043831000000,421.6140137
334,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755228695999989,21.306124616000002,425.1149902
335,1439,1007.403000000000020,399,U, ,1,3-3-,1007.388922330000014,6,-157.755195985000000,21.306142439999999,425.1539917
