OBJECTID_1,OBJECTID,length,type,type_id,hsa_code,nhsa_code,ndar_code,hgu_code,stream_nam,trib_nam,quadrangle,comment,Shape_Leng,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
1,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759537791735681,21.276031450291271,
2,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759520115560861,21.276058963250591,
3,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759508454951202,21.276196642261255,
4,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759526113139572,21.276251697857617,
5,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759531932652550,21.276350841817930,
6,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759555484997605,21.276449934516904,
7,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759579022054197,21.276505034180047,
8,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759620171433738,21.276620608754115,
9,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759631946257286,21.276664689923564,
10,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759690725046909,21.276758261684506,
11,1252,2146.112169999999878,NON-PERENNIAL,2, ,33015000.000000000000000,33015001.000000000000000,3, , ,Koko Head, ,2146.112150330000077,1,-157.759919942451347,21.276951016975886,
