"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"422_106","Trapezoidal",1,1,0,0,1,0
"422_107","Trapezoidal",1,1,0,0,1,0
"422_108","Trapezoidal",1,1,0,0,1,0
"422_109","Trapezoidal",1,1,0,0,1,0
"422_11","Trapezoidal",1,1,0,0,1,0
"422_110","Trapezoidal",1,1,0,0,1,0
"422_111","Trapezoidal",1,1,0,0,1,0
"422_112","Trapezoidal",1,1,0,0,1,0
"422_113","Trapezoidal",1,1,0,0,1,0
"422_114","Trapezoidal",1,1,0,0,1,0
"422_115","Trapezoidal",1,1,0,0,1,0
"422_116","Trapezoidal",1,1,0,0,1,0
"422_117","Trapezoidal",1,1,0,0,1,0
"422_118","Trapezoidal",1,1,0,0,1,0
"422_119","Trapezoidal",1,1,0,0,1,0
"422_12","Trapezoidal",1,1,0,0,1,0
"422_120","Trapezoidal",1,1,0,0,1,0
"422_121","Trapezoidal",1,1,0,0,1,0
"422_122","Trapezoidal",1,1,0,0,1,0
"422_123","Trapezoidal",1,1,0,0,1,0
"422_124","Trapezoidal",1,1,0,0,1,0
"422_125","Trapezoidal",1,1,0,0,1,0
"422_126","Trapezoidal",1,1,0,0,1,0
"422_127","Trapezoidal",1,1,0,0,1,0
"422_128","Trapezoidal",1,1,0,0,1,0
"422_129","Trapezoidal",1,1,0,0,1,0
"422_13","Trapezoidal",1,1,0,0,1,0
"422_130","Trapezoidal",1,1,0,0,1,0
"422_131","Trapezoidal",1,1,0,0,1,0
"422_132","Trapezoidal",1,1,0,0,1,0
"422_133","Trapezoidal",1,1,0,0,1,0
"422_134","Trapezoidal",1,1,0,0,1,0
"422_135","Trapezoidal",1,1,0,0,1,0
"422_136","Trapezoidal",1,1,0,0,1,0
"422_137","Trapezoidal",1,1,0,0,1,0
"422_138","Trapezoidal",1,1,0,0,1,0
"422_139","Trapezoidal",1,1,0,0,1,0
"422_14","Trapezoidal",1,1,0,0,1,0
"422_140","Trapezoidal",1,1,0,0,1,0
"422_141","Trapezoidal",1,1,0,0,1,0
"422_142","Trapezoidal",1,1,0,0,1,0
"422_143","Trapezoidal",1,1,0,0,1,0
"422_144","Trapezoidal",1,1,0,0,1,0
"422_145","Trapezoidal",1,1,0,0,1,0
"422_146","Trapezoidal",1,1,0,0,1,0
"422_147","Trapezoidal",1,1,0,0,1,0
"422_148","Trapezoidal",1,1,0,0,1,0
"422_149","Trapezoidal",1,1,0,0,1,0
"422_15","Trapezoidal",1,1,0,0,1,0
"422_150","Trapezoidal",1,1,0,0,1,0
"422_151","Trapezoidal",1,1,0,0,1,0
"422_152","Trapezoidal",1,1,0,0,1,0
"422_153","Trapezoidal",1,1,0,0,1,0
"422_154","Trapezoidal",1,1,0,0,1,0
"422_155","Trapezoidal",1,1,0,0,1,0
"422_156","Trapezoidal",1,1,0,0,1,0
"422_157","Trapezoidal",1,1,0,0,1,0
"422_158","Trapezoidal",1,1,0,0,1,0
"422_159","Trapezoidal",1,1,0,0,1,0
"422_16","Trapezoidal",1,1,0,0,1,0
"422_160","Trapezoidal",1,1,0,0,1,0
"422_161","Trapezoidal",1,1,0,0,1,0
"422_162","Trapezoidal",1,1,0,0,1,0
"422_163","Trapezoidal",1,1,0,0,1,0
"422_164","Trapezoidal",1,1,0,0,1,0
"422_165","Trapezoidal",1,1,0,0,1,0
"422_166","Trapezoidal",1,1,0,0,1,0
"422_167","Trapezoidal",1,1,0,0,1,0
"422_168","Trapezoidal",1,1,0,0,1,0
"422_169","Trapezoidal",1,1,0,0,1,0
"422_17","Trapezoidal",1,1,0,0,1,0
"422_170","Trapezoidal",1,1,0,0,1,0
"422_171","Trapezoidal",1,1,0,0,1,0
"422_172","Trapezoidal",1,1,0,0,1,0
"422_173","Trapezoidal",1,1,0,0,1,0
"422_174","Trapezoidal",1,1,0,0,1,0
"422_175","Trapezoidal",1,1,0,0,1,0
"422_176","Trapezoidal",1,1,0,0,1,0
"422_177","Trapezoidal",1,1,0,0,1,0
"422_178","Trapezoidal",1,1,0,0,1,0
"422_179","Trapezoidal",1,1,0,0,1,0
"422_18","Trapezoidal",1,1,0,0,1,0
"422_180","Trapezoidal",1,1,0,0,1,0
"422_181","Trapezoidal",1,1,0,0,1,0
"422_182","Trapezoidal",1,1,0,0,1,0
"422_183","Trapezoidal",1,1,0,0,1,0
"422_184","Trapezoidal",1,1,0,0,1,0
"422_185","Trapezoidal",1,1,0,0,1,0
"422_186","Trapezoidal",1,1,0,0,1,0
"422_187","Trapezoidal",1,1,0,0,1,0
"422_188","Trapezoidal",1,1,0,0,1,0
"422_189","Trapezoidal",1,1,0,0,1,0
"422_19","Trapezoidal",1,1,0,0,1,0
"422_190","Trapezoidal",1,1,0,0,1,0
"422_191","Trapezoidal",1,1,0,0,1,0
"422_192","Trapezoidal",1,1,0,0,1,0
"422_193","Trapezoidal",1,1,0,0,1,0
"422_194","Trapezoidal",1,1,0,0,1,0
"422_195","Trapezoidal",1,1,0,0,1,0
"422_196","Trapezoidal",1,1,0,0,1,0
"422_197","Trapezoidal",1,1,0,0,1,0
"422_198","Trapezoidal",1,1,0,0,1,0
"422_199","Trapezoidal",1,1,0,0,1,0
"422_2","Trapezoidal",1,1,0,0,1,0
"422_20","Trapezoidal",1,1,0,0,1,0
"422_200","Trapezoidal",1,1,0,0,1,0
"422_201","Trapezoidal",1,1,0,0,1,0
"422_202","Trapezoidal",1,1,0,0,1,0
"422_203","Trapezoidal",1,1,0,0,1,0
"422_204","Trapezoidal",1,1,0,0,1,0
"422_205","Trapezoidal",1,1,0,0,1,0
"422_206","Trapezoidal",1,1,0,0,1,0
"422_21","Trapezoidal",1,1,0,0,1,0
"422_22","Trapezoidal",1,1,0,0,1,0
"422_23","Trapezoidal",1,1,0,0,1,0
"422_24","Trapezoidal",1,1,0,0,1,0
"422_25","Trapezoidal",1,1,0,0,1,0
"422_26","Trapezoidal",1,1,0,0,1,0
"422_27","Trapezoidal",1,1,0,0,1,0
"422_28","Trapezoidal",1,1,0,0,1,0
"422_29","Trapezoidal",1,1,0,0,1,0
"422_3","Trapezoidal",1,1,0,0,1,0
"422_30","Trapezoidal",1,1,0,0,1,0
"422_31","Trapezoidal",1,1,0,0,1,0
"422_32","Trapezoidal",1,1,0,0,1,0
"422_33","Trapezoidal",1,1,0,0,1,0
"422_34","Trapezoidal",1,1,0,0,1,0
"422_35","Trapezoidal",1,1,0,0,1,0
"422_36","Trapezoidal",1,1,0,0,1,0
"422_37","Trapezoidal",1,1,0,0,1,0
"422_38","Trapezoidal",1,1,0,0,1,0
"422_39","Trapezoidal",1,1,0,0,1,0
"422_4","Trapezoidal",1,1,0,0,1,0
"422_40","Trapezoidal",1,1,0,0,1,0
"422_41","Trapezoidal",1,1,0,0,1,0
"422_42","Trapezoidal",1,1,0,0,1,0
"422_43","Trapezoidal",1,1,0,0,1,0
"422_44","Trapezoidal",1,1,0,0,1,0
"422_45","Trapezoidal",1,1,0,0,1,0
"422_46","Trapezoidal",1,1,0,0,1,0
"422_47","Trapezoidal",1,1,0,0,1,0
"422_48","Trapezoidal",1,1,0,0,1,0
"422_49","Trapezoidal",1,1,0,0,1,0
"422_5","Trapezoidal",1,1,0,0,1,0
