"Nodes","new_elev"
NA,NA
1948,104.193573
1956,5.0023165
2196,19.9512062
2197,17.4432697
2198,52.0213699
2199,32.8685837
2200,44.2918663
2201,16.5515003
2202,55.2828620000064
2203,23.8038943000064
2204,24.4328098
2205,13.4279785
2206,16.0292988
2207,14.415226
2208,21.4233913
2209,304.4113464
2210,27.0580581000064
2273,2.1887219000064
2274,265.2021179
2275,2.3210900000064
2276,3.5562649000064
2277,5.4449363
2278,0.7121029
2279,16.1443694000064
2280,5.5975650000064
2281,0.1279438
2282,0.4037878000064
2283,0.1329149
2284,2.976712
2285,11.5556023000064
2286,8.0050507
2287,6.6570764
2288,0.5495918
2289,0.0282077
2290,0.0280077000064
2291,0
2292,0.0079178000064
2293,0.0123610000064
2294,0.0119327000064
2295,527.348877
2303,144.0586853
2561,191.7983093
2562,152.5184479
2563,228.4911804
2564,136.9475403
2565,114.1113129
2566,121.4839096
2567,184.768797200006
2568,108.134260400006
2569,131.7811584
2570,90.4478683
2571,94.6541672
2572,137.8949432
2573,80.3247299
2574,83.1859725000064
2575,99.9930038
2576,121.8642883
2577,141.3478241
2634,47.0878639
2635,37.3546448
2636,42.5089722
2637,32.0927429
2638,62.5857353
2639,37.0065956
2640,21.2179279
2641,29.361454
2642,17.9723075000064
2643,831.5874023
2644,829.2397461
2645,802.4629517
2646,789.6818848
2647,590.179182300006
2648,721.7406006
2649,516.3308716
2650,560.6580811
2651,555.2577515
2653,470.8085938
2654,610.5212402
2655,618.3102417
2656,451.8923645
2658,450.1134949
2659,381.7909241
2660,559.1740723
2856,987.1542358
2866,831.9442139
3099,450.6315002
3105,296.3525391
3112,372.9949646
3113,507.9017334
3114,68.6376266
3120,207.7540131
3121,175.6661072
3224,736.190107600006
3225,753.099714600006
3226,779.3756104
3227,727.1589966
3228,640.654585200006
3239,270.906324700006
3488,262.4761353
3489,301.5120544
3573,18.9694881
3574,113.4929886
4395,613.6834106
4396,634.2254028
4397,551.6890259
4398,571.7404175
4399,543.8127441
4419,759.7038574
4420,759.3232422
4778,888.3665161
4779,992.7059937
4780,1004.9343262
5391,236.161026
7099,226.7346802
7660,31.0662349000064
7670,4.8143954
7671,0.4639034
7713,186.3150635
7714,134.7971497
7715,140.5265198
7716,70.8142776
7725,548.9844971
7795,253.4189148
7802,287.605896
7803,310.7921753
7806,773.3483887
7807,809.5305786
8026,931.9408569
8634,28.4035301
8635,25.1838055
8647,306.9798584
8648,0.1129027
8649,10.7200120000064
8661,26.8005962
8684,81.7212677
8685,116.3416977
8693,30.0730896
8759,250.468458400006
8762,855.9273071
8771,778.8259888
9558,31.6075595000064
9559,34.6067429
9560,16.2561035
9572,3.8982623
9573,0.0753297
9611,127.6838531
9612,208.3097076
9621,801.9814453
9622,657.4071655
9678,306.4185181
9714,270.8108521
9888,903.0385742
10528,2.5997546
10529,0.0081178
10530,388.921051
10569,108.1344604
10570,87.8403168
10578,25.4608631
10579,45.5481949
10580,698.2453003
10581,468.586731
10582,468.0727234
10630,456.8103333
10643,215.6350861
10674,332.3922119
11147,444.0655823
11448,67.445816
11459,0.0029389
11505,61.2662811
11561,649.036665200006
11563,432.3763733
11564,553.3300781
11574,809.520796100006
11608,274.624939
11720,600.1574097
11721,811.3209839
12084,16.3242016
12342,0.4039878
12348,108.5395355
12349,23.9691124
12374,110.8703308
12375,134.1651611
12383,36.0664902
12438,1.8328592
12598,686.2481079
12990,248.6948242
13245,1.8828345000064
13246,31.3098758000064
13293,203.1430817
13294,132.7226257
13295,60.9311256
13296,81.3485947
13305,18.9294376
13306,497.4439697
13307,451.418196000006
13308,424.619812
13309,543.8872681
13349,587.9934082
13358,872.371521
13571,1025.8808594
14200,32.5167847
14209,8.1119356
14254,118.8993073
14255,144.4506531
14256,126.1673965
14257,146.4280243
14258,61.1221046
14268,542.9682617
14269,462.5736389
14270,592.8831787
14326,317.0697937
14328,411.4061279
14340,232.3300476
14341,250.253006
14343,870.7515259
14352,826.414917
14490,677.6151123
14863,248.1425629
15135,29.259943
15136,25.5359173
15137,9.6941175
15180,139.2757416
