time_step,simulated_flow_cfs
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,26.44
5.5,115.97
5.75,199.26
6,166.72
6.25,102.55
6.5,119.97
6.75,101.29
7,133.26
7.25,117.63
7.5,107.97
7.75,101.65
8,95.9
8.25,90.68
8.5,85.89
8.75,81.71
9,107.95
9.25,125.99
9.5,100.65
9.75,88.94
10,117.19
10.25,141.79
10.5,120.11
10.75,110.39
11,181.03
