OBJECTID_1,Area_sqft,Curve_Number,Slope,Percent_imp,Width
1,8242850.541,50.27226696,28.12488788,0,400
2,11211635.15,55.31557618,36.40935203,0.000927115,400
3,13733857.72,61.06273397,33.94600956,0,400
4,244206.8928,60.82817617,20.19128626,38.51763637,181.0683568
5,42008.07262,59.94459387,4.973907902,59.22528719,400
6,233227.5612,39.1463619,0,58.53240322,325.7368173
7,2174275.191,62.46734994,24.37085007,14.10178763,400
8,155360.1987,43.75794125,3.156830956,46.87794523,340.6274911
9,883743.9176,64.92769033,34.31882952,1.783702012,400
10,527259.4977,59.50282392,13.03499906,46.82731603,400
11,1461121.289,55.59506349,0.94758568,60.17684089,400
12,277490.0101,62.92827145,18.41688055,28.88469268,213.2570013
13,210147.7983,37.24906666,2.801558317,60.72206092,245.8444061
14,244581.3896,59.93119871,10.06220211,51.97367076,313.9281088
15,191335.255,40.48688745,0.780762234,53.68409461,343.0791734
16,255938.12,59.46640066,25.49224019,29.72936196,201.9873096
17,245110.0632,58.35095289,10.78205321,48.09130146,252.7428987
18,294312.6694,59.57713747,17.3274096,41.48075899,238.0977829
19,303386.9708,37.69305324,2.445729247,43.40998739,500
20,3260351.436,68.12691091,28.73820831,5.926748961,400
21,78832.74443,41.71681727,2.133592209,64.38962281,196.3455652
22,106889.4334,52.60334735,5.224537757,57.3645861,303.318483
23,712111.0521,58.75297863,2.091764046,60.15848873,376.7384679
24,5956372.531,65.60653952,29.28704431,0.81502431,400
25,434355.6042,61.670282,27.32156393,26.67894757,266.9179648
26,206507.8416,52.48623249,2.385881052,52.66356043,413.1809556
27,702726.8756,61.07520389,27.94698162,13.33065868,404.2609881
28,1400354.976,58.22900794,9.695153025,45.64873898,500
29,62214.51584,46.60531394,4.303892997,63.75089696,150.3492408
30,106274.8041,41.09880832,1.17347833,28.87544298,234.8614455
31,229731.4536,58.70699023,10.27077404,47.00969557,379.9726325
32,201517.2728,36.36264424,1.91627193,55.41356127,316.7514505
33,326340.5269,36.43171719,2.383154493,52.76045359,500
34,439337.823,50.45073099,6.571679077,55.84532683,294.1469088
35,163977.2857,36.38428664,2.502320422,58.1059099,340.4843972
36,103198.2434,36.48504283,3.413503412,57.37834523,235.1292855
37,237074.1957,41.21750926,2.866642563,57.21574745,273.7577318
38,12415473.15,67.5692662,29.49279649,0.093206635,400
39,210025.122,50.75785821,11.31944206,42.93308382,400
40,78272.63391,46.96257513,7.774445572,65.26444349,230.281359
41,1024091.664,58.69059822,31.78168357,0,400
42,1097148.995,49.94637945,12.77419164,52.07524372,400
43,492509.8642,62.43704344,33.91832406,0.158683592,400
44,246676.7259,46.81876804,9.792575178,56.58470774,283.1134235
45,205273.4788,46.68191561,10.83737171,75.81187507,181.738361
46,209977.2853,57.85258332,9.180995339,59.97948939,361.4689022
47,163180.851,44.12992115,9.0178653,73.67874059,250.5848449
48,444740.1573,58.75910367,7.954645437,39.93227871,400
49,317060.0545,44.95489459,11.6266179,61.33457951,274.9393466
50,318019.5355,61.80036144,32.39232894,1.474599605,260.0748573
51,194382.0056,45.48179018,3.205696179,65.70617625,287.4622975
52,521285.7079,46.04249877,14.2092259,49.06820134,394.0179198
53,143664.1278,53.98840721,21.1789757,32.12886722,275.6939701
54,301206.4425,46.30915744,11.98504143,65.90850376,192.1327056
55,456026.8006,52.00221752,14.01245628,43.23871699,368.268433
56,634933.528,61.26885146,29.99659999,7.289334,400
57,313040.0367,45.77823338,15.03656872,56.38068612,287.6148812
58,794612.2964,46.82200738,13.47371249,50.48965135,400
59,241399.5504,53.7404835,9.355130215,58.61615029,267.7160368
60,130703.8635,58.26650801,10.20005574,66.27512006,229.0237664
61,383882.1694,53.29546084,8.729538441,49.27959815,346.2453048
62,816823.6955,47.1124157,4.969306881,57.62114314,400
63,1260905.984,55.59826107,11.35084752,59.59508223,400
64,179960.756,62,28.08302572,10.63857967,310.6520905
65,309782.866,59.79150393,12.2859432,54.98557019,240.6828265
66,310209.2866,60.8477603,20.46153661,30.37886608,252.202672
67,376961.0186,59.21464753,13.09451411,65.31544476,224.7427524
68,306366.8551,64.12347737,16.77800082,56.40239857,270.0457074
69,171176.1085,61.92278616,23.71009394,39.74706986,202.3597452
70,236054.897,59.24870466,18.90064401,38.95121684,283.9928982
71,161251.173,58.22480265,1.229756545,63.33945328,287.435246
72,352887.1791,59.32936266,3.150903879,45.27106014,400
73,592047.0484,52.91550998,10.67842504,25.5618759,400
74,1593473.115,45.63212165,0.513034194,49.9518791,400
75,646779.5547,57.16000036,3.103798958,49.96926038,351.9314151
76,1533842.77,61.94713271,12.66893273,21.94615359,400
77,519621.8684,47.55275509,0.063163121,27.73969292,400
78,1272102.338,42.51235661,0.662519556,45.86953124,400
79,703208.6192,42.64163649,0.780962719,55.67441413,400
80,328301.2434,42.06349546,0,34.72397236,400
81,288828.9172,43.01181935,0.202127771,53.67397184,400
82,65510.58194,52.36590093,12.98454078,50.03240953,149.3288852
83,249137.794,66.33976614,33.80248846,0,217.7397256
84,862615.6123,62.10954935,27.63411142,4.567331708,400
85,287422.7561,62,30.45274774,0.488281567,400
86,259891.6286,62,32.79587617,0,400
87,220569.3952,62,32.53339197,0.354659927,301.7778016
88,245841.817,58.86032285,12.4884884,45.34938012,390.845496
89,929708.7833,58.82176935,12.26721668,54.37988009,400
90,919388.5521,60.40234513,32.04143777,3.833246125,400
91,543493.0873,61.92057367,7.225773467,49.19776606,400
92,364994.4568,61.12416364,32.32297981,0.359272275,354.2603677
93,520654.21,37.87740782,0.094002039,26.0080801,400
94,3624922.752,57.41689744,36.32299579,0,400
95,322086.5192,61.07100846,25.74114412,34.04731109,246.300007
96,628696.5923,60.25322483,31.66308143,9.212696318,400
97,218448.3655,59.01045859,12.80407377,47.90957767,366.7086881
