OBJECTID,SUBCATCHMENT_NAME,AREA(SQFT),Curve_number,Slope,Percent_Impervious,POINT_X,POINT_Y
67,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.759617,21.31546177
68,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7596901,21.31565979
69,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7598236,21.31596294
70,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7598571,21.31607842
71,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7598657,21.31613291
72,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7598633,21.316187
73,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7598306,21.31629512
74,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7598053,21.31634975
75,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7596338,21.31662192
76,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7595788,21.3167505
77,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7595327,21.31688648
78,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7595158,21.31695896
79,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.759497,21.3171135
80,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7594928,21.31727123
81,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7595049,21.31755983
82,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7594843,21.31769352
83,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7593309,21.31806787
84,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7591219,21.31850573
85,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7589904,21.31874571
86,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7588431,21.31906139
87,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7588018,21.31920436
88,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7587392,21.3195092
89,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7587182,21.31958026
90,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7586386,21.31977768
91,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7585469,21.31996365
92,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7583225,21.32038742
93,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.758055,21.32095226
94,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7579557,21.32113093
95,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7578841,21.32124493
96,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7577641,21.32140383
97,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7575441,21.32164968
98,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.757461,21.32175266
99,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7571473,21.32209147
100,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7570661,21.32219626
101,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7570305,21.32225343
102,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7569364,21.32243703
103,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7566784,21.32310204
104,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7565837,21.32328508
105,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7565103,21.32339732
106,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7564704,21.32345036
107,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7563778,21.32354431
108,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7561681,21.32370899
109,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7556593,21.32413519
110,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7556104,21.32417972
111,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7555279,21.32428329
112,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.755469,21.32440933
113,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7553971,21.32461406
114,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7553158,21.32490088
115,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.75526,21.32502989
116,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7551252,21.32526579
117,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7550148,21.32543385
118,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7548038,21.32568827
119,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7547245,21.32579491
120,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7546898,21.32585291
121,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7546265,21.32597483
122,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7545272,21.32624455
123,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7543379,21.32670176
124,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7542475,21.32688885
125,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7541104,21.32712254
126,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7540318,21.32722986
127,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.753936,21.3273208
128,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7537638,21.32743
129,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7534816,21.32758298
130,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7533304,21.32767964
131,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7532059,21.32777677
132,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7531317,21.32786144
133,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.753114,21.32788856
134,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7531121,21.32790239
135,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7529643,21.3278872
136,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7527082,21.32782546
137,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7523651,21.3277928
138,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7522797,21.32777378
139,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.752167,21.3277369
140,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7519364,21.32769346
141,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.751792,21.32764098
142,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7516451,21.32759726
143,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7514349,21.32747743
144,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7513569,21.32745278
145,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7511906,21.32743584
146,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7508021,21.32743356
147,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7506903,21.32743025
